Organization,Name,Role,Primary1,Primary2,Primary3,Secondary1,Secondary2,Gadget1,Gadget2
S.A.T.,HIBANA,ATTACKER,TYPE-89,SUPERNOVA,NaN,P229,BEARING 9,STUN GRENADE,BREACH CHARGE
S.A.T.,ECHO,DEFENDER,SUPERNOVA,MP5SD,NaN,P229,BEARING 9,DEPLOYABLE SHIELD,BARBED WIRE
BOPE,CAVEIRA,DEFENDER,M12,SPAS-15,NaN,LUISON,NaN,IMPACT GRENADE,BULLETPROOF CAMERA
BOPE,CAPITAO,ATTACKER,PARA-308,M249,NaN,PRB92,NaN,CLAYMORE,STUN GRENADE
NAVY SEAL,BLACKBEARD,ATTACKER,MK17 CQB,SR-25,NaN,D-50,NaN,BREACH CHARGE,STUN GRENADE
NAVY SEAL,VALKYRIE,DEFENDER,MPX,SPAS-12,NaN,D-50,NaN,DEPLOYABLE SHIELD,NITRO CELL
JTF2,BUCK,ATTACKER,C8-SFW,CAMRS,NaN,MK1 9MM,NaN,STUN GRENADE,FRAG GRENADE
JTF2,FROST,DEFENDER,SUPER 90,9MM C1,NaN,MK1 9MM,NaN,BULLETPROOF CAMERA,DEPLOYABLE SHIELD
SAS,MUTE,DEFENDER,MP5K,M690A1,NaN,P226 MK 25,SMG-11,NITRO CELL,BULLETPROOF CAMERA
SAS,SLEDGE,ATTACKER,M590A1,L85A2,NaN,P226 MK 25,SMG-11,FRAG GRENADE,STUN GRENADE
SAS,SMOKE,DEFENDER,FMG-9,M590A1,NaN,P226 MK 25,SMG-11,BARBED WIRE,DEPLOYABLE SHIELD
SAS,THATCHER,ATTACKER,AR33,L85A2,M590A1,P226 MK 25,NaN,BREACH CHARGE,CLAYMORE
SWAT,ASH,ATTACKER,G36C,R4-C,NaN,M45 MEUSOC,5.7 USG,BREACH CHARGE,STUN GRENADE
SWAT,CASTLE,DEFENDER,UMP45,M1014,NaN,5.7 USG,M45 MEUSOC,BULLETPROOF CAMERA,IMPACT GRENADE
SWAT,PULSE,DEFENDER,M1014,UMP45,NaN,M45 MEUSOC,5.7 USG,BARBED WIRE,NITRO CELL
SWAT,THERMITE,ATTACKER,M1014,556XI,NaN,M45 MEUSOC,5.7 USG,CLAYMORE,STUN GRENADE
GIGN,MONTAGNE,ATTACKER,LE ROC,NaN,NaN,P9,LFP586,STUN GRENADE,SMOKE GRENADE
GIGN,TWITCH,ATTACKER,F2,417,SG-CQB,P9,LFP586,CLAYMORE,BREACH CHARGE
GIGN,DOC,DEFENDER,SG-CQB,MP5,P90,P9,LFP586,BULLETPROOF CAMERA,BARBED WIRE
GIGN,ROOK,DEFENDER,P90,MP5,SG-CQB,LFP586,P9,BARBED WIRE,IMPACT GRENADE
GSG9,JAGER,DEFENDER,M870,416-C CARABINE,NaN,P12,NaN,BULLETPROOF CAMERA,BARBED WIRE
GSG10,BANDIT,DEFENDER,MP7,M870,NaN,P12,NaN,BARBED WIRE,NITRO CELL
GSG11,BLITZ,ATTACKER,G52-TACTICAL SHIELD,NaN,NaN,P12,NaN,SMOKE GRENADE,BREACH CHARGE
GSG12,IQ,ATTACKER,AUG A2,552 COMMANDO,G8A1,P12,NaN,BREACH CHARGE,CLAYMORE
SPETSNAZ,FUZE,ATTACKER,BALLISTIC SHIELD,6P41,AK-12,PMM,GSH-18,BREACH CHARGE,SMOKE GRENADE
SPETSNAZ,GLAZ,ATTACKER,OTS-03,NaN,NaN,GSH-18,PMM,SMOKE GRENADE,FRAG GRENADE
SPETSNAZ,TACHANKA,DEFENDER,SASG-12,9X19VSN,NaN,GSH-18,PMM,BARBED WIRE,DEPLOYABLE SHIELD
SPETSNAZ,KAPKAN,DEFENDER,9X19VSN,SASG-12,NaN,PMM,GSH-18,IMPACT GRENADE,NITRO CELL
NIGHTHAVEN,KALI,ATTACKER,CSRX 300,NaN,NaN,P226 MK25,C75 AUTO,BREACH CHARGE,CLAYMORE
NIGHTHAVEN,WAMAI,DEFENDER,AUG A2,MP5K,NaN,KERATOS .357,P12,BARBED WIRE,DEPLOYABLE SHIELD
REU,IANA,ATTACKER,ARX200,G36C,NaN,MK1 9MM,NaN,FRAG GRENADE,SMOKE GRENADE
UNAFFILIATED,ORYX,DEFENDER,MP5,SPAS-12,NaN,BAILIFF 410,USP40,BARBED WIRE,BULLETPROOF CAMERA

